ID,Title,Product,Repo,Assignee,Skill,Theme,Phase,Milestone,Status,Dependencies,Dev_hrs,TestDev_hrs,QA_hrs,Deploy_hrs,Buffer_hrs,Total_hrs,Remaining_hrs,Description,Acceptance
G19,Cost-out #19: pH impact on oxidizer,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,8,3,2,1,2,16,16.0,"Implement opportunity 'pH impact on oxidizer': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G20,Cost-out #20: Corrosion cost avoidance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Corrosion cost avoidance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G21,Cost-out #21: Scale cost avoidance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Scale cost avoidance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G22,Cost-out #22: Closed-loop makeup ingress,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Closed-loop makeup ingress': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G23,Cost-out #23: Sensor calibration cost avoidance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Sensor calibration cost avoidance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G24,Cost-out #24: Sampling-labor optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Sampling-labor optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G25,Cost-out #25: Inventory optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Inventory optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G26,Cost-out #26: Delivery & vendor reconciliation,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Delivery & vendor reconciliation': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G27,Cost-out #27: Water-quality upset prevention,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Water-quality upset prevention': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G28,Cost-out #28: Treatment setpoint optimization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,12,4,2,1,2,21,21.0,"Implement opportunity 'Treatment setpoint optimization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G29,Cost-out #29: Alarm rationalization,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Alarm rationalization': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G30,Cost-out #30: Unplanned cleaning avoidance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Unplanned cleaning avoidance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G31,Cost-out #31: Wastewater discharge savings,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Wastewater discharge savings': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G32,Cost-out #32: Regulatory & contaminant screening,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Regulatory & contaminant screening': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
G33,Cost-out #33: Data quality cost avoidance,Sentry,pontus,Will,AE,G — Cost-Out,3,Post-MVP,To-do,G0,10,4,2,1,2,19,19.0,"Implement opportunity 'Data quality cost avoidance': data signal, required inputs, calculation method, annual $ output, confidence/data-quality indicator.",Computes $/yr from real rates or shows incomplete; feeds ranked list; no fabricated value
H1,Pontus /model endpoint,Proteus,pontus,Will,AE,H — Proteus,1,Post-MVP,To-do,"A2,C3",32,13,6,1,6,58,58.0,evaluate (single water) + sweep (series) under endpoints/model/; returns sentinels not bare numbers. See PROTEUS_PONTUS_SCOPE.md for full detail.,Matches prototype oracle / reproduces proteus-v7.html
H2,Model utility families,Proteus,pontus,Will,AE,H — Proteus,1,Post-MVP,In-progress,"C3,C4,C5",56,22,11,1,11,101,50.5,"utilities/chemical, /cost, /dynamics, /forecast — pure modules ported from the prototype oracle. See PROTEUS_PONTUS_SCOPE.md for full detail.",Matches prototype oracle / reproduces proteus-v7.html
H3,Proteus frontend,Proteus,proteus-fe,Will,FE,H — Proteus,3,Post-MVP,To-do,H1,56,17,11,1,10,95,95.0,"Sentry-style vanilla ES-module client: makeup + tab-scoped controls, four tabs, charts; no chemistry in bundle. See PROTEUS_PONTUS_SCOPE.md for full detail.",Matches prototype oracle / reproduces proteus-v7.html
H4,Result caching,Proteus,proteus-fe,Will,FE,H — Proteus,5,Post-MVP,To-do,H3,20,6,4,1,4,35,35.0,"Two-tier param-keyed cache (memory+localStorage, version-prefixed, rounded keys) + native fetch caching. See PROTEUS_PONTUS_SCOPE.md for full detail.",Matches prototype oracle / reproduces proteus-v7.html
I1,Decision workflow (accept/decline/defer/discuss),Sentry,pontus + sentry-fe,Will,FE,I — Customer Workflow,4,Post-MVP,To-do,"G0,A10",36,11,9,1.5,7,64.5,64.5,Per-opportunity Yes/No/Defer/Request-Discussion with record+audit; Yes triggers scheduling; No keeps available w/ reason; Defer sets review date; Discuss schedules without accepting.,All four paths record correctly and are audited
I2,Appointment setting,Sentry,pontus + sentry-fe,Will,IE,I — Customer Workflow,4,Sep,To-do,I1,40,12,10,1.5,8,71.5,71.5,"On accept/discuss create scheduling path to Grant@ or Troy@YourWaterDr.com (pick Grant/Troy/next-available); collect contact+windows+tz+notes; attach summary, savings, graphs, status; failure -> visible error + email fallback; no private calendar exposure.",Test acceptance reaches correct contact with attachments; failure falls back to email
I3,Permissions & audit on actions,Sentry,pontus + sentry-fe,Will,IE,I — Customer Workflow,4,Post-MVP,To-do,"I1,A5",16,5,4,1.5,3,29.5,29.5,Only authorized users can take/override decisions; decisions recorded immutably for Your Water Dr. review.,Unauthorized action blocked; decisions traceable
J1,Self-serve onboarding,Sentry,pontus + sentry-fe,Will,IE,J — Onboarding/Integration/DevOps/QA,4,Post-MVP,To-do,"A6,B1",40,12,10,2,8,72,72.0,"Facility onboarding, data-source connection, parser config, monitoring config, setup health checks, first-value path.",New facility onboards and sees first results unaided
J2,Ask Nereus integration,Sentry,pontus,Will,IE,J — Onboarding/Integration/DevOps/QA,5,Post-MVP,To-do,"A2,A5",20,6,5,2,4,37,37.0,Let Ask Nereus safely use governed Sentry data where permitted (tenant isolation + permissions).,"Ask Nereus reads only permitted, tenant-scoped data"
J3,Analytics/anomaly/alerting integration,Sentry,pontus,Will,IE,J — Onboarding/Integration/DevOps/QA,5,Post-MVP,To-do,B6,24,7,6,2,5,44,44.0,Make telemetry ingestion and monitoring outputs usable by analytics/anomaly/projection/alerting services.,Downstream services consume pipeline outputs
J4,Node/Express API surface,Sentry,pontus,Will,PE,J — Onboarding/Integration/DevOps/QA,4,Post-MVP,To-do,"A3,A7",24,7,6,2,5,44,44.0,"Document+test routes behind onboarding, config, auth, retention, deletion, audit; production-ready.",Routes documented + test-covered
J5,DevOps & deployment,Sentry,pontus,Parker,PE,J — Onboarding/Integration/DevOps/QA,5,Jul,To-do,A11,28,7,6,4,5,50,50.0,"Cloud deploy, CI/CD, infrastructure-as-code, secure deployment, operational docs.","Repeatable, secure deploy path documented"
J6,Test & QA package,Sentry,pontus + sentry-fe,Shared,IE,J — Onboarding/Integration/DevOps/QA,5,Sep,To-do,,36,7,16,1,7,67,67.0,"Automated tests for calculations, graph generation, permission checks, customer actions; representative+edge data; user-facing error messages for missing/invalid/permission/calendar.",Acceptance test package passes; errors user-readable
J7,Documentation & handoff,Sentry,all,Shared,IE,J — Onboarding/Integration/DevOps/QA,6,Sep,To-do,,24,4,5,1,4,38,38.0,"Admin/user/developer docs; source, config notes, migrations, deployment notes; one handoff meeting.",Docs complete enough for future maintenance
